id;siteId;assessmentCriteriaId;logDate;oldScore;newScore;oldRecommendationDescription;newRecommendationDescription;oldRecommendationStatusId;newRecommendationStatusId;oldNotes;newNotes;createDate;createdBy;updateDate;updatedBy
1;43;1;40:10.5;3;3;;MSICABDJ001, MSICABDJ002, MSICABDJ004 , MSICABDJ006  -are on 2008 OS and live.. Should be decommissioned soon. I see the replacement servers are ready but pending with app teams.MSICABDJ012 – 2012 – can be upgraded to 2016 or 2019 OS>;2;2;;;32:40.7;;32:40.7;Nadelin Georgiev
2;43;46;43:37.1;2;2;;Plan to replace 2960X;2;2;;;28:45.2;;28:45.2;Nadelin Georgiev
3;47;46;32:32.2;3;3;;;2;5;Standard Solution is deployed;Standard Solution is deployed;31:35.0;;31:35.0;Jim McColl
4;47;46;35:41.4;3;2;;Replace 2960X;5;2;Standard Solution is deployed;There is one 2960X that should be replaced;31:35.0;;32:32.3;Jim McColl
5;47;16;48:09.5;1;1;exterior walls present, cannot be solved without moving CR, a hole in the raised floor is not covered. cover hole to prevent tripping hazard;exterior walls present, cannot be solved without moving CR, a hole in the raised floor is not covered. cover hole to prevent tripping hazard;2;2;;Assessment done in 2017;47:39.7;;47:39.7;Jim McColl
6;50;52;30:40.9;3;2;;;2;2;Standard guest wifi solution is deployed, plant segmentation not applicable.;Standard guest wifi solution is deployed, but the DSL circuit is unsupported;27:56.5;;27:56.5;CHRIS SOUTHERN
7;53;46;41:40.0;2;2;;Replace 2960X;2;2;Compliant but there are LAN devices approaching EOS;Compliant but there are LAN devices approaching EOS;37:51.4;;37:51.4;CHRIS SOUTHERN
8;3;44;52:50.5;2;1;70% uttilised, Link upgrade advsied;70% uttilised, Link upgrade advsied;2;2;;link has become fully utilized and cannot be upgraded;;;;
9;43;47;56:27.3;3;3;;;2;2;;LAN is compliant;34:47.9;;34:47.9;Nadelin Georgiev
10;54;26;15:08.0;2;3;Consider camera surveilance;;2;2;;;10:23.0;;10:23.0;FABIO FERKET
11;49;26;24:44.5;3;3;;;2;2;;owned by other company;21:19.8;;21:19.8;FABIO FERKET
12;45;47;53:21.5;1;1;;Plant LAN assessment and redesign including cabling infrastructure.;2;2;;Plant CORE switches having multiple single homed L2 devices which means redundancy is not fully operational.;37:26.0;;22:48.1;Nadelin Georgiev
13;38;46;57:58.7;2;3;P-609202 Sofia Remediation;;3;3;LAN has devices approaching EOL;LAN is compliant after 'P-609202 Sofia Remediation';;;;
14;38;47;58:11.7;2;3;P-609202 Sofia Remediation;;3;3;LAN has devices approaching EOL;LAN is compliant after 'P-609202 Sofia Remediation';;;;
15;38;53;58:47.7;2;3;609523 - CBS - Sofia - Voice-Skype;;3;3;Legacy Cisco voice solution is deployed;Voice is compliant after '609523 - CBS - Sofia - Voice-Skype';;;;
16;38;54;59:01.1;2;3;609523 - CBS - Sofia - Voice-Skype;;3;3;Legacy Cisco voice solution is deployed;Voice is compliant after '609523 - CBS - Sofia - Voice-Skype';;;;
17;39;46;02:39.8;2;3;P-609202 Sofia Remediation;;3;3;Some LAN component approaching EOL;LAN is compliant after 'P-609202 Sofia Remediation';;;;
18;39;47;02:53.1;2;3;P-609202 Sofia Remediation;;3;3;Some LAN component approaching EOL;LAN is compliant after 'P-609202 Sofia Remediation';;;;
19;39;53;03:26.7;2;3;609523 - CBS - Sofia - Voice-Skype;;3;3;Legacy Cisco Voice solution;Compliant infra after 609523 - CBS - Sofia - Voice-Skype;;;;
