id;code;description;businessUnitGroupId
1;CAMEX;CAMEX;1
2;CAN LATAM;CAN LATAM;1
3;CAN NA;CAN NA;1
4;CAPC;Cargill Animal Protein China;10
5;CARGILL BUSINESS SERVICES;CBS;19
6;CARGILL CORN MILLING NA;Cargill Corn Milling North America;13
7;CARGILL FOODS NA;Cargill Foods NA;13
8;CASC AFRICA;CASC Africa;3
9;CASC APU;CASC APU;5
10;CASC BRAZIL;CASC Brazil;5
11;CASC CANADA;CASC Canada;4
12;CASC EMEA;CASC Europe;3
13;CASC MEXICO;CASC Mexico;4
14;CASC NA;CASC NA;4
15;CBI EMEA;Cargill Bioindustrial EMEA;6
16;CBI NA;Cargill Bioindustrial NA;6
17;CBI SA;Cargill Bioindustrial SA;6
18;CCC-APAC;Cocoa and Chocolate APAC;7
19;CCC-BRAZIL;Cocoa and Chocolate Brazil;7
20;CCC-Europe;Cocoa and Chocolate Europe;7
21;CCC-NA;Cargill Cocoa & Chocolate North America;7
22;CCC-WA;Cocoa and Chocolate West Africa;7
23;CFMETA;Cargill Foods META;8
24;CFN;Cargill Feed & Nutrition;1
25;CHT;Cargill Health Technologies;1
26;CKS;Cargill Kitchen Solutions;11
27;CPE;Cargill Protein Europe;10
28;CPLA;Cargill Protein LA;11
29;CPN;Cargill Premix & Nutrition;1
30;CPS;Cargill Protein NA;11
31;CPSEA;Cargill Protein Southeast Asia;10
32;CQN;Cargill Aqua Nutrition;12
33;CQN LATAM;CQN LATAM;12
34;CQN NA;CQN NA;12
35;CQN NORTHSEA;CQN Northsea;12
36;CSST;Cargill Starches, Sweeteners & Texturizers-India;13
37;CSST CHINA;Cargill Starches, Sweeteners & Texturizers China;13
38;CSST INDONESIA;Cargill Starches, Sweeteners & Texturizers Indonesia;13
39;CSSTE;Cargill Starches, Sweeteners & Texturizers Europe;13
40;CSST-SA;Cargill Starches and Sweeteners South America;13
41;CTP;Cargill Tropical Palms;2
42;DC;Data Center;19
43;FIBI ASIA PACIFIC;Food Ingredients & Bio Industrial Asia Pacific;14
44;GEOS;Global Edible Oil Solutions;15
45;GEOS INDIA;Global Edible Oil Solutions India;15
46;GEOS MAL;Global Edible Oil Solutions Malaysia;15
47;GEOS MEXICO;GEOS Mexico;15
48;GEOS NA;GEOS NA;15
49;GEOS-AUS;Global Edible Oil Solutions Australia;18
50;GLOBAL NETWORK;Global Network Asia Pacific;17
51;GOSC APBU;Grain & Oilseed Supply Chain Argentina, Paraguay, Bolivia & Uruguay;5
52;GOSC ASIA;Grain & Oilseed Supply Chain Asia;18
53;GOSC BRAZIL;Grain & Oilseed Supply Chain Brazil;5
54;GOSC GCK;Grain and Oilseed Supply Chain Greater China Korea;18
55;GOSC-AUS;Grain & Oilseed Supply Chain Australia;18
56;METAL;Metals;9
57;OFFICES;Shared Offices;19
58;OT;Ocean Transportation;3
59;SALT;Salt;21
60;STARCHES AND SWEETENERS NA;Starches and Sweeteners North America;13
61;US AND COTTON;US and Cotton;4
62;WTU;World Trading Unit;2
