id;name;mdmSiteId;mdmSiteName;comment;isActive;region;enterprise;businessGroup;reportingUnit;address;country;countryCode;city;state;latitude;longitude;investmentCriticalityId
1;Malchin;990029;Malchin;;TRUE;EMEA;FIBI;Cargill Starches, Sweeteners & Texturizers;Cargill Starches, Sweeteners & Texturizers Europe;;GERMANY;DE;Malchin;;53.74323;53.74323;1
2;Balikesir;27040;Balikesir;;TRUE;EMEA;FIBI;Cargill Foods META;Cargill Foods META;;TURKEY;TR;Balikesir;;39.630447;39.630447;4
3;Barby;4344;Barby;;TRUE;EMEA;FIBI;Cargill Starches, Sweeteners & Texturizers;Cargill Starches, Sweeteners & Texturizers Europe;;GERMANY;DE;Barby;;51.985016;51.985016;2
4;Krefeld;5386;Krefeld;;TRUE;EMEA;FIBI;Cargill Starches, Sweeteners & Texturizers;Cargill Starches, Sweeteners & Texturizers Europe;;GERMANY;DE;Krefeld;;51.338395;51.338395;4
5;Castelmassa;1690016;Castelmassa;;TRUE;EMEA;FIBI;Cargill Starches, Sweeteners & Texturizers;Cargill Starches, Sweeteners & Texturizers Europe;;ITALY;IT;Castelmassa;;45.021491;45.021491;2
6;Martorell;11727;Martorell;;TRUE;EMEA;FIBI;Cargill Starches, Sweeteners & Texturizers;Cargill Starches, Sweeteners & Texturizers Europe;;SPAIN;ES;Martorell;;41.48552;41.48552;2
7;Manchester;642050;Manchester;;TRUE;EMEA;FIBI;Cargill Starches, Sweeteners & Texturizers;Cargill Starches, Sweeteners & Texturizers Europe;;UNITED KINGDOM;GB;Manchester;;53.477497;53.477497;2
8;Zaandam CTS;8458;Zaandam CTS;;TRUE;EMEA;FIBI;Cargill Starches, Sweeteners & Texturizers;Cargill Starches, Sweeteners & Texturizers Europe;;NETHERLANDS;NL;Zaandam CTS;;52.425569;52.425569;4
9;Hamburg CSST;770070;Hamburg CSST;;TRUE;EMEA;FIBI;Cargill Starches, Sweeteners & Texturizers;Cargill Starches, Sweeteners & Texturizers Europe;;GERMANY;DE;Hamburg CSST;;53.529905;53.529905;1
10;Wroclaw;660017;Wroclaw;;TRUE;EMEA;FIBI;Cargill Starches, Sweeteners & Texturizers;Cargill Starches, Sweeteners & Texturizers Europe;;POLAND;PL;Wroclaw;;51.1272093;51.1272093;2
11;Dilovasi;1210054;Dilovasi;;TRUE;EMEA;FIBI;Cargill Foods META;Cargill Foods META;;TURKEY;TR;Dilovasi;;40.472341;40.472341;4
12;Milazzo;990036;Milazzo;;TRUE;EMEA;FIBI;Cargill Starches, Sweeteners & Texturizers;Cargill Starches, Sweeteners & Texturizers Europe;;ITALY;IT;Milazzo;;38.1791097;38.1791097;1
13;Haubourdin;990031;Haubourdin;;TRUE;EMEA;FIBI;Cargill Starches, Sweeteners & Texturizers;Cargill Starches, Sweeteners & Texturizers Europe;;FRANCE;FR;Haubourdin;;50.606571;50.606571;4
14;Redon;662236;Redon;;TRUE;EMEA;FIBI;Cargill Starches, Sweeteners & Texturizers;Cargill Starches, Sweeteners & Texturizers Europe;;FRANCE;FR;Redon;;47.6529525;47.6529525;4
15;Baupte;12535;Baupte;;TRUE;EMEA;FIBI;Cargill Starches, Sweeteners & Texturizers;Cargill Starches, Sweeteners & Texturizers Europe;;FRANCE;FR;Baupte;;49.305497;49.305497;2
16;Efremov;1590156;Efremov;;TRUE;EMEA;FIBI;Cargill Starches, Sweeteners & Texturizers;Cargill Starches, Sweeteners & Texturizers Europe;;RUSSIAN FEDERATION;RU;Efremov;;53.108131;53.108131;4
17;Orhangazi;1210055;Orhangazi;;TRUE;EMEA;FIBI;Cargill Foods META;Cargill Foods META;;TURKEY;TR;Orhangazi;;40.421958;40.421958;4
18;Floro;662520;Floro;;TRUE;EMEA;ANH;CQN and Seafood;Cargill Aqua Nutrition;;NORWAY;NO;Floro;;61.58643;61.58643;4
19;Bergneset;662442;Bergneset;;TRUE;EMEA;ANH;CQN and Seafood;Cargill Aqua Nutrition;;NORWAY;NO;Bergneset;;69.23782;69.23782;4
20;Dirdal;1370560;Dirdal;;TRUE;EMEA;ANH;CQN and Seafood;Cargill Aqua Nutrition;;NORWAY;NO;Dirdal;;58.83689;58.83689;4
21;Westfield;7656;Westfield;;TRUE;EMEA;ANH;CQN and Seafood;Cargill Aqua Nutrition;;UNITED KINGDOM;GB;Westfield;;55.93163;55.93163;4
22;Trondheim;662366;Trondheim;;TRUE;EMEA;ANH;CQN and Seafood;Cargill Aqua Nutrition;;NORWAY;NO;Trondheim;;63.42432;63.42432;4
23;Sandnes;26221;Sandnes;;TRUE;EMEA;ANH;CQN and Seafood;Cargill Aqua Nutrition;;NORWAY;NO;Sandnes;;58.85401;58.85401;4
24;Oslo;8201;Oslo;;TRUE;EMEA;ANH;CQN and Seafood;Cargill Aqua Nutrition;;NORWAY;NO;Oslo;;59.92808;59.92808;4
25;Halsa;26709;Halsa;;TRUE;EMEA;ANH;CQN and Seafood;Cargill Aqua Nutrition;;NORWAY;NO;Halsa;;66.74455;66.74455;4
